Geneset.ID	enhancer.pvalue	enhancer.Effect	promoter.pvalue	promoter.Effect	polyenrich.pvalue	polyenrich.Effect
GO:0015833	0.0167823892620933	-2.39144082082938	0.00356317430946014	2.91444864232623	1.16787670109692e-14	0.433043973507881
GO:0042886	0.0149805068969939	-2.43284996467891	0.00268325624418499	3.00187126184556	1.82050791563502e-14	0.428418087558421
GO:0044248	0.000180634603081006	-3.74466504320239	0.00687827626108744	2.70268081202914	5.40618096365108e-14	0.427265158858026
GO:0006605	0.0419415399865439	-2.03409974202876	0.0231442537809696	2.27104500284695	6.01546454328637e-14	0.639218724059249
GO:0070647	0.00217757952246403	-3.06487917114356	0.000146980923230173	3.79611569791661	1.1510483517806e-13	0.522824782441069
GO:0006412	0.020858151393414	-2.31054226566973	0.041082001601814	2.0427014460103	1.4793062526388e-13	0.660567429529351
GO:0034660	5.43931275591376e-05	-4.03590109755912	4.27616189718208e-05	4.09202844101428	1.61171453061071e-13	0.679749295592695
GO:0034470	0.000330520718263225	-3.59012397774989	0.000625251415843619	3.42041730683594	1.65298032583458e-13	0.781810494299784
GO:0043043	0.0167917278138916	-2.39123660182945	0.0314979199209682	2.15072489842554	4.03558151667948e-13	0.639810268053764
GO:0022613	0.000154931558894184	-3.78302867284167	0.000284246154272984	3.62924973375237	5.05403671205324e-13	0.732068703073928
GO:0043604	0.0118337112050252	-2.51706465291021	0.0362441576936747	2.09417765294532	1.92244270792076e-12	0.595871257993132
GO:0033554	0.0493962656200813	-1.96515530132318	0.102229464800646	1.63413996538276	4.1804101159574e-12	0.405676649060979
GO:0007005	0.304153627048134	-1.02756684453605	0.147189739033968	1.44952960431437	4.82928545349655e-12	0.659969795157837
GO:0006511	0.0311765293808823	-2.15481224838539	0.0163886311991181	2.40014382444425	1.21138765530768e-11	0.635190431293338
GO:0043632	0.0207140230971885	-2.31315673918886	0.00639397631489994	2.72686205609066	1.58573279593112e-11	0.625676846835566
GO:0019941	0.0316713980117427	-2.14853350083266	0.0164165720031645	2.39952024491875	2.22770485314811e-11	0.624417642098868
GO:0006518	0.0291540539702969	-2.18139715383608	0.0818547821137901	1.74002412370335	2.71043740589009e-11	0.548000287332964
GO:0072594	0.0339953624271127	-2.12012669302038	0.268545992870193	1.10641717995608	3.18160451122199e-11	0.583114214953328
GO:0043161	0.0164104611119786	-2.3996565473538	0.0539512854591922	1.92722749021096	4.35089670113325e-11	0.727767199926913
GO:0051603	0.0665999786661967	-1.83436400729438	0.0446571929957332	2.00786919910556	9.59015121757917e-11	0.579536708929955
GO:0010498	0.0358856919946842	-2.09822026802567	0.0907491494482848	1.69145911843466	2.24764579524097e-10	0.682445516113245
GO:0044257	0.0989756425701955	-1.64984011043332	0.0642842000324048	1.85020367126829	3.11368591579612e-10	0.552681748078574
GO:0044772	0.0864605230788067	-1.71437147930939	0.00817899356170811	2.64459007093616	3.43394393766592e-10	0.615786331856537
GO:0044033	0.266834569585402	-1.11038172549754	0.856024019781762	0.181437712499022	5.68926836509016e-10	0.865444944010952
